,Date,DGS5
0,42705,1.9
1,42706,1.84
2,42709,1.84
3,42710,1.84
4,42711,1.8
5,42712,1.83
6,42713,1.89
7,42716,1.9
8,42717,1.92
9,42718,2.02
10,42719,2.1
11,42720,2.07
12,42723,2.03
13,42724,2.06
14,42725,2.04
15,42726,2.04
16,42727,2.04
17,42730,2.04
18,42731,2.07
19,42732,2.02
20,42733,1.96
21,42734,1.93
22,42737,1.93
23,42738,1.94
24,42739,1.94
25,42740,1.86
26,42741,1.92
27,42744,1.89
28,42745,1.89
29,42746,1.89
30,42747,1.87
31,42748,1.9
32,42751,1.9
33,42752,1.84
34,42753,1.93
35,42754,1.97
36,42755,1.95
37,42758,1.88
38,42759,1.94
39,42760,1.99
40,42761,1.95
41,42762,1.94
42,42765,1.94
43,42766,1.9
44,42767,1.93
45,42768,1.92
46,42769,1.93
47,42772,1.86
48,42773,1.85
49,42774,1.81
50,42775,1.88
51,42776,1.89
52,42779,1.92
53,42780,1.98
54,42781,2.01
55,42782,1.95
56,42783,1.92
57,42786,1.92
58,42787,1.93
59,42788,1.92
60,42789,1.87
61,42790,1.8
62,42793,1.87
63,42794,1.89
64,42795,1.99
65,42796,2.03
66,42797,2.02
67,42800,2.02
68,42801,2.05
69,42802,2.08
70,42803,2.13
71,42804,2.11
72,42807,2.14
73,42808,2.13
74,42809,2.02
75,42810,2.05
76,42811,2.03
77,42814,2
78,42815,1.96
79,42816,1.95
80,42817,1.95
81,42818,1.93
82,42821,1.93
83,42822,1.97
84,42823,1.93
85,42824,1.96
86,42825,1.93
87,42828,1.88
88,42829,1.88
89,42830,1.85
90,42831,1.87
91,42832,1.92
92,42835,1.91
93,42836,1.84
94,42837,1.81
95,42838,1.77
96,42839,1.77
97,42842,1.79
98,42843,1.71
99,42844,1.74
100,42845,1.78
101,42846,1.77
102,42849,1.81
103,42850,1.87
104,42851,1.84
105,42852,1.81
106,42853,1.81
107,42856,1.84
108,42857,1.81
109,42858,1.86
110,42859,1.88
111,42860,1.89
112,42863,1.91
113,42864,1.94
114,42865,1.94
115,42866,1.93
116,42867,1.85
117,42870,1.86
118,42871,1.86
119,42872,1.76
120,42873,1.78
121,42874,1.79
122,42877,1.8
123,42878,1.84
124,42879,1.79
125,42880,1.78
126,42881,1.79
127,42884,1.79
128,42885,1.76
129,42886,1.75
130,42887,1.76
131,42888,1.71
132,42891,1.74
133,42892,1.71
134,42893,1.74
135,42894,1.75
136,42895,1.77
137,42898,1.78
138,42899,1.79
139,42900,1.74
140,42901,1.76
141,42902,1.75
142,42905,1.8
143,42906,1.77
144,42907,1.78
145,42908,1.76
146,42909,1.77
147,42912,1.77
148,42913,1.83
149,42914,1.81
150,42915,1.85
151,42916,1.89
152,42919,1.93
153,42920,1.93
154,42921,1.92
155,42922,1.94
156,42923,1.95
157,42926,1.93
158,42927,1.92
159,42928,1.88
160,42929,1.89
161,42930,1.87
162,42933,1.86
163,42934,1.82
164,42935,1.83
165,42936,1.82
166,42937,1.81
167,42940,1.83
168,42941,1.9
169,42942,1.83
170,42943,1.84
171,42944,1.83
172,42947,1.84
173,42948,1.8
174,42949,1.82
175,42950,1.79
176,42951,1.82
177,42954,1.81
178,42955,1.84
179,42956,1.81
180,42957,1.78
181,42958,1.74
182,42961,1.77
183,42962,1.83
184,42963,1.79
185,42964,1.76
186,42965,1.77
187,42968,1.76
188,42969,1.8
189,42970,1.76
190,42971,1.78
191,42972,1.77
192,42975,1.74
193,42976,1.7
194,42977,1.72
195,42978,1.7
196,42979,1.73
197,42982,1.73
198,42983,1.65
199,42984,1.69
200,42985,1.63
201,42986,1.64
202,42989,1.71
203,42990,1.75
204,42991,1.78
205,42992,1.79
206,42993,1.81
207,42996,1.83
208,42997,1.84
209,42998,1.89
210,42999,1.89
211,43000,1.88
212,43003,1.85
213,43004,1.87
214,43005,1.91
215,43006,1.89
216,43007,1.92
217,43010,1.94
218,43011,1.92
219,43012,1.92
220,43013,1.94
221,43014,1.97
222,43017,1.97
223,43018,1.95
224,43019,1.95
225,43020,1.95
226,43021,1.91
227,43024,1.95
228,43025,1.97
229,43026,1.99
230,43027,1.98
231,43028,2.03
232,43031,2.01
233,43032,2.05
234,43033,2.06
235,43034,2.07
236,43035,2.03
237,43038,2
238,43039,2.01
239,43040,2.01
240,43041,2
241,43042,1.99
242,43045,1.99
243,43046,1.99
244,43047,2.01
245,43048,2.01
246,43049,2.06
247,43052,2.08
248,43053,2.06
249,43054,2.04
250,43055,2.07
251,43056,2.06
252,43059,2.09
253,43060,2.11
254,43061,2.05
255,43062,2.05
256,43063,2.07
257,43066,2.06
258,43067,2.07
259,43068,2.09
260,43069,2.14
261,43070,2.13
262,43073,2.15
263,43074,2.15
264,43075,2.11
265,43076,2.14
266,43077,2.14
267,43080,2.16
268,43081,2.18
269,43082,2.12
270,43083,2.14
271,43084,2.16
272,43087,2.17
273,43088,2.23
274,43089,2.24
275,43090,2.26
276,43091,2.26
277,43094,2.26
278,43095,2.25
279,43096,2.22
280,43097,2.23
281,43098,2.2
282,43101,2.2
283,43102,2.25
284,43103,2.25
285,43104,2.27
286,43105,2.29
287,43108,2.29
288,43109,2.33
289,43110,2.32
290,43111,2.32
291,43112,2.35
292,43115,2.35
293,43116,2.36
294,43117,2.39
295,43118,2.43
296,43119,2.45
297,43122,2.46
298,43123,2.43
299,43124,2.43
300,43125,2.41
301,43126,2.47
302,43129,2.49
303,43130,2.51
304,43131,2.52
305,43132,2.56
306,43133,2.58
307,43136,2.5
308,43137,2.52
309,43138,2.57
310,43139,2.57
311,43140,2.52
312,43143,2.56
313,43144,2.54
314,43145,2.65
315,43146,2.65
316,43147,2.63
317,43150,2.63
318,43151,2.65
319,43152,2.69
320,43153,2.66
321,43154,2.62
322,43157,2.6
323,43158,2.67
324,43159,2.65
325,43160,2.58
326,43161,2.63
327,43164,2.65
328,43165,2.65
329,43166,2.65
330,43167,2.63
331,43168,2.65
332,43171,2.64
333,43172,2.62
334,43173,2.61
335,43174,2.62
336,43175,2.65
337,43178,2.65
338,43179,2.69
339,43180,2.69
340,43181,2.63
341,43182,2.61
342,43185,2.64
343,43186,2.58
344,43187,2.59
345,43188,2.56
346,43189,2.56
347,43192,2.55
348,43193,2.6
349,43194,2.61
350,43195,2.64
351,43196,2.58
352,43199,2.6
353,43200,2.62
354,43201,2.62
355,43202,2.67
356,43203,2.67
357,43206,2.69
358,43207,2.68
359,43208,2.73
360,43209,2.77
361,43210,2.8
362,43213,2.83
363,43214,2.83
364,43215,2.84
365,43216,2.82
366,43217,2.8
367,43220,2.79
368,43221,2.82
369,43222,2.8
370,43223,2.78
371,43224,2.78
372,43227,2.78
373,43228,2.81
374,43229,2.84
375,43230,2.83
376,43231,2.84
377,43234,2.85
378,43235,2.92
379,43236,2.94
380,43237,2.94
381,43238,2.9
382,43241,2.9
383,43242,2.9
384,43243,2.83
385,43244,2.82
386,43245,2.76
387,43248,2.76
388,43249,2.58
389,43250,2.67
390,43251,2.68
391,43252,2.74
392,43255,2.78
393,43256,2.76
394,43257,2.81
395,43258,2.77
396,43259,2.77
397,43262,2.8
398,43263,2.81
399,43264,2.85
400,43265,2.81
401,43266,2.81
402,43269,2.8
403,43270,2.77
404,43271,2.8
405,43272,2.77
406,43273,2.77
407,43276,2.75
408,43277,2.75
409,43278,2.71
410,43279,2.73
411,43280,2.73
412,43283,2.75
413,43284,2.72
414,43285,2.72
415,43286,2.74
416,43287,2.71
417,43290,2.75
418,43291,2.77
419,43292,2.74
420,43293,2.75
421,43294,2.73
422,43297,2.75
423,43298,2.76
424,43299,2.77
425,43300,2.74
426,43301,2.77
427,43304,2.83
428,43305,2.83
429,43306,2.82
430,43307,2.86
431,43308,2.84
432,43311,2.85
433,43312,2.85
434,43313,2.87
435,43314,2.85
436,43315,2.82
437,43318,2.8
438,43319,2.84
439,43320,2.83
440,43321,2.8
441,43322,2.75
442,43325,2.75
443,43326,2.77
444,43327,2.73
445,43328,2.75
446,43329,2.75
447,43332,2.7
448,43333,2.73
449,43334,2.7
450,43335,2.72
451,43336,2.72
452,43339,2.74
453,43340,2.77
454,43341,2.78
455,43342,2.75
456,43343,2.74
457,43346,2.74
458,43347,2.78
459,43348,2.77
460,43349,2.76
461,43350,2.82
462,43353,2.83
463,43354,2.87
464,43355,2.87
465,43356,2.87
466,43357,2.9
467,43360,2.89
468,43361,2.94
469,43362,2.96
470,43363,2.96
471,43364,2.95
472,43367,2.96
473,43368,2.99
474,43369,2.96
475,43370,2.96
476,43371,2.94
477,43374,2.96
478,43375,2.94
479,43376,3.02
480,43377,3.05
481,43378,3.07
482,43381,3.07
483,43382,3.05
484,43383,3.05
485,43384,3
486,43385,3
487,43388,3.01
488,43389,3.02
489,43390,3.04
490,43391,3.03
491,43392,3.05
492,43395,3.05
493,43396,3.01
494,43397,2.94
495,43398,2.98
496,43399,2.91
497,43402,2.91
498,43403,2.94
499,43404,2.98
500,43405,2.96
501,43406,3.04
502,43409,3.03
503,43410,3.05
504,43411,3.07
505,43412,3.09
506,43413,3.05
507,43416,3.05
508,43417,2.99
509,43418,2.95
510,43419,2.94
511,43420,2.9
512,43423,2.87
513,43424,2.88
514,43425,2.89
515,43426,2.89
516,43427,2.88
517,43430,2.9
518,43431,2.89
519,43432,2.87
520,43433,2.85
521,43434,2.84
522,43437,2.83
523,43438,2.79
524,43439,2.79
525,43440,2.75
526,43441,2.7
527,43444,2.71
528,43445,2.75
529,43446,2.77
530,43447,2.75
531,43448,2.73
532,43451,2.69
533,43452,2.65
534,43453,2.62
535,43454,2.65
536,43455,2.64
537,43458,2.58
538,43459,2.58
539,43460,2.67
540,43461,2.6
541,43462,2.56
542,43465,2.51
543,43466,2.51
544,43467,2.49
545,43468,2.37
546,43469,2.49
547,43472,2.53
548,43473,2.58
549,43474,2.57
550,43475,2.56
551,43476,2.52
552,43479,2.53
553,43480,2.53
554,43481,2.54
555,43482,2.58
556,43483,2.62
557,43486,2.62
558,43487,2.57
559,43488,2.59
560,43489,2.55
561,43490,2.59
562,43493,2.58
563,43494,2.55
564,43495,2.49
565,43496,2.43
566,43497,2.51
567,43500,2.53
568,43501,2.51
569,43502,2.5
570,43503,2.46
571,43504,2.44
572,43507,2.47
573,43508,2.49
574,43509,2.53
575,43510,2.48
576,43511,2.49
577,43514,2.49
578,43515,2.47
579,43516,2.47
580,43517,2.51
581,43518,2.47
582,43521,2.48
583,43522,2.45
584,43523,2.49
585,43524,2.52
586,43525,2.56
587,43528,2.53
588,43529,2.53
589,43530,2.49
590,43531,2.44
591,43532,2.42
592,43535,2.44
593,43536,2.41
594,43537,2.42
595,43538,2.43
596,43539,2.4
597,43542,2.42
598,43543,2.42
599,43544,2.34
600,43545,2.34
601,43546,2.24
602,43549,2.21
603,43550,2.18
604,43551,2.18
605,43552,2.2
606,43553,2.23
607,43556,2.31
608,43557,2.28
609,43558,2.32
610,43559,2.32
611,43560,2.31
612,43563,2.33
613,43564,2.31
614,43565,2.28
615,43566,2.31
616,43567,2.38
617,43570,2.37
618,43571,2.41
619,43572,2.4
620,43573,2.38
621,43574,2.38
622,43577,2.39
623,43578,2.36
624,43579,2.32
625,43580,2.33
626,43581,2.29
627,43584,2.32
628,43585,2.28
629,43586,2.31
630,43587,2.34
631,43588,2.33
632,43591,2.3
633,43592,2.25
634,43593,2.28
635,43594,2.25
636,43595,2.26
637,43598,2.18
638,43599,2.2
639,43600,2.15
640,43601,2.18
641,43602,2.17
642,43605,2.21
643,43606,2.23
644,43607,2.19
645,43608,2.11
646,43609,2.12
647,43612,2.12
648,43613,2.06
649,43614,2.05
650,43615,2.03
651,43616,1.93
652,43619,1.83
653,43620,1.89
654,43621,1.86
655,43622,1.88
656,43623,1.85
657,43626,1.91
658,43627,1.92
659,43628,1.88
660,43629,1.84
661,43630,1.85
662,43633,1.85
663,43634,1.83
