Date,DOLLAR
43237,93.470001
43238,93.639999
43240,
43241,93.68
43242,93.610001
43243,94.010002
43244,93.779999
43245,94.190002
43247,
43249,94.830002
43250,94.150002
43251,93.989998
43252,94.190002
43254,
43255,94.019997
43256,93.889999
43257,93.660004
43258,93.400002
43259,93.550003
43261,
43262,93.580002
43263,93.800003
43264,93.709999
43265,94.769997
43266,94.790001
43268,
43269,94.75
43270,95.089996
43271,95.059998
43272,94.870003
43273,94.519997
43275,
43276,94.279999
43277,94.68
43278,95.290001
43279,95.389999
43280,94.629997
43282,
43283,94.870003
43284,94.589996
43286,94.470001
43287,94.040001
43289,
43290,94.080002
43291,94.110001
43292,94.720001
43293,94.809998
43294,94.75
43296,
43297,94.510002
43298,94.970001
43299,95.080002
43300,95.169998
43301,94.459999
43303,
43304,94.669998
43305,94.610001
43306,94.360001
43307,94.75
43308,94.68
43310,
43311,94.360001
43312,94.489998
43313,94.620003
43314,95.169998
43315,95.139999
43317,
43318,95.360001
43319,95.220001
43320,95.099998
43321,95.5
43322,96.360001
43324,
43325,96.389999
43326,96.730003
43327,96.699997
43328,96.650002
43329,96.099998
43331,
43332,95.900002
43333,95.260002
43334,95.150002
43335,95.620003
43336,95.150002
43338,
43339,94.779999
43340,94.720001
43341,94.599998
43342,94.720001
43343,95.139999
43345,
43347,95.419998
43348,95.129997
43349,95.019997
43350,95.370003
43352,
43353,95.150002
43354,95.059998
43355,94.800003
43356,94.540001
43357,94.980003
43359,
43360,94.510002
43361,94.620003
43362,94.550003
43363,93.910004
43364,94.220001
43366,
43367,94.260002
43368,94.129997
43369,94.190002
43370,95
43371,95.190002
43373,
43374,95.300003
43375,95.510002
43376,95.760002
43377,95.75
43378,95.620003
43380,
43381,95.769997
43382,95.68
43383,95.510002
43384,95.019997
43385,95.220001
43387,
43388,95.07
43389,95.050003
43390,95.580002
43391,95.900002
43392,95.709999
43394,
43395,96.010002
43396,95.959999
43397,96.43
43398,96.68
43399,96.360001
43401,
43402,96.580002
43403,97.010002
43404,97.129997
43405,96.279999
43406,96.540001
43408,
43409,96.349998
43410,96.32
43411,96
43412,96.639999
43413,96.910004
43415,
43416,97.540001
43417,97.300003
43418,96.800003
43419,96.93
43420,96.470001
43422,
43423,96.190002
43424,96.809998
43425,96.709999
43427,96.919998
43429,
43430,97.07
43431,97.370003
43432,96.790001
43433,96.779999
43434,97.269997
43436,
43437,97.040001
43438,96.970001
43440,96.809998
43441,96.510002
43443,
43444,97.220001
43445,97.389999
43446,97.040001
43447,97.059998
43448,97.440002
43450,
43451,97.099998
43452,97.139999
43453,97.040001
43454,96.279999
43455,96.959999
43457,
43458,96.550003
43460,97.050003
43461,96.480003
43462,96.389999
43464,
43465,96.169998
43467,96.82
43468,96.309998
43469,96.190002
43471,
43472,95.709999
43473,95.900002
43474,95.220001
43475,95.540001
43476,95.669998
43478,
43479,95.589996
43480,95.970001
43481,96.059998
43482,96.07
43483,96.339996
43485,
43487,96.300003
43488,96.120003
43489,96.599998
43490,95.790001
43492,
43493,95.75
43494,95.82
43495,95.339996
43496,95.580002
43497,95.580002
43499,
43500,95.849998
43501,96.099998
43502,96.419998
43503,96.510002
43504,96.639999
43506,
43507,97.059998
43508,96.709999
43509,97.129997
43510,96.980003
43511,96.919998
43513,
43515,96.519997
43516,96.449997
43517,96.610001
43518,96.510002
43520,
43521,96.410004
43522,96
43523,96.150002
43524,96.160004
43525,96.529999
43527,
43528,96.68
43529,96.849998
43530,96.870003
43531,97.669998
43532,97.370003
43534,
43535,97.220001
43536,96.940002
43537,96.550003
43538,96.790001
43539,96.599998
43541,
43542,96.519997
43543,96.379997
43544,95.760002
43545,96.5
43546,96.650002
43548,
43549,96.57
43550,96.739998
43551,96.769997
43552,97.199997
43553,97.279999
43555,
43556,97.25
43557,97.360001
43558,97.089996
43559,97.309998
43560,97.400002
43562,
43563,97.050003
43564,97.010002
43565,96.949997
43566,97.18
43567,96.970001
43569,
43570,96.940002
43571,97.040001
43572,97.010002
43573,97.470001
43576,
43577,97.279999
43578,97.57
43579,98.099998
43580,98.199997
43581,98.010002
43583,
43584,97.860001
43585,97.480003
43586,97.690002
43587,97.830002
43588,97.519997
43590,
43591,97.519997
43592,97.629997
43593,97.620003
43594,97.370003
43595,97.330002
43597,
43598,97.32
43599,97.529999
43600,97.57
43601,97.839996
43602,98
43604,
43605,97.93
43606,98.059998
43607,98.110001
43608,97.849998
43609,97.610001
43611,
43613,97.959999
43614,98.139999
43615,98.139999
43616,97.75
43618,
43619,97.139999
43620,97.07
43621,97.370003
43622,97.029999
43623,96.610001
43625,
43626,96.760002
43627,96.690002
43628,97
43629,97.010002
43630,97.57
43632,
43633,97.559998
43634,97.639999
43635,97.120003
43636,96.629997
43637,96.220001
43639,
43640,95.980003
43641,96.160004
43642,96.209999
43643,96.190002
43644,96.129997
43646,
43647,96.839996
43648,96.730003
43649,96.769997
43651,97.25
43653,
43654,97.379997
43655,97.489998
43656,97.099998
43657,97.050003
43658,96.809998
43660,
43661,96.93
43662,97.400002
43663,97.220001
43664,96.790001
43665,97.150002
43667,
43668,97.260002
43669,97.709999
43670,97.730003
43671,97.82
43672,98.010002
43674,
43675,98.040001
43676,98.050003
43677,98.519997
43678,98.389999
43679,98.099998
43681,
